ticker,Año,Dividendos,Precio_Cierre_Año,Dividend_Yield
ROVI.MC,2022,0.96,34.51,0.0278
ROVI.MC,2023,1.29,59.42,0.0217
ROVI.MC,2024,1.1,62.95,0.0175
SAB.MC,2020,0.02,0.29,0.069
SAB.MC,2022,0.05,0.75,0.0667
SAB.MC,2023,0.05,1.0,0.05
SAB.MC,2024,0.11,1.79,0.0615
SAB.MC,2025,0.12,2.53,0.0474
SAN.MC,2021,0.08,2.55,0.0314
SAN.MC,2022,0.11,2.53,0.0435
SAN.MC,2023,0.14,3.56,0.0393
SAN.MC,2024,0.2,4.39,0.0456
SAN.MC,2025,0.11,6.34,0.0174
SCYR.MC,2020,0.08,1.6,0.05
SCYR.MC,2021,0.09,1.89,0.0476
SCYR.MC,2022,0.11,2.25,0.0489
SCYR.MC,2023,0.14,2.92,0.0479
SCYR.MC,2024,0.14,3.1,0.0452
SCYR.MC,2025,0.08,3.27,0.0245
TEF.MC,2020,0.38,2.37,0.1603
TEF.MC,2021,0.35,3.08,0.1136
TEF.MC,2022,0.3,2.91,0.1031
TEF.MC,2023,0.3,3.29,0.0912
TEF.MC,2024,0.3,3.94,0.0761
UNI.MC,2021,0.01,0.7,0.0143
UNI.MC,2022,0.02,0.86,0.0233
UNI.MC,2023,0.05,0.78,0.0641
UNI.MC,2024,0.11,1.22,0.0902
UNI.MC,2025,0.07,1.7,0.0412
