ticker,Año,PER,ROE,EV/EBIT,Dividend_Yield,deuda_financiera/EBIT
ACS.MC,2020,6.763835803805591,0.2539479475434033,21.638369679846218,0.0987,23.20932004872987
ACS.MC,2021,-7.718405786546791,-0.1155407129181043,151.19928854412083,0.0915,195.41334569819708
ACS.MC,2022,9.477766142343844,0.1204577787488039,20.19958345576085,0.0858,23.05701650850605
ACS.MC,2023,12.512750312450729,0.1463804966357496,18.21941224297466,0.0525,17.71990507667881
ACS.MC,2024,14.950232069407187,0.1755499804527288,15.725971034314536,0.0421,15.203905902901797
ACX.MC,2020,38.717526697792,0.0312013760691698,18.07977216529695,0.0856,12.638195410388416
ACX.MC,2021,4.380774317079398,0.2653695523052936,4.589205127576115,0.0542,3.0800794330277523
ACX.MC,2022,3.5512836523071503,0.224750282628369,3.612558650423244,0.0631,3.1382128825257203
ACX.MC,2023,10.586272329569365,0.0947206271305373,7.705619841845444,0.0619,6.344188838907161
ACX.MC,2024,10.148808940812462,0.0890058508687275,9.540285371212054,0.0677,7.271902711933754
AENA.MC,2023,13.80864886492267,0.2138126114007503,12.522899928337816,0.0316,4.056087211114444
AENA.MC,2024,14.630454222468543,0.2337039379265297,12.46364378738272,0.0406,3.012288018824685
AMS.MC,2020,-41.80400744818653,-0.1649220252082888,-39.9140234670704,0.0098,-9.302043906131718
AMS.MC,2023,25.91474409448819,0.2492751037159298,22.91707515326858,0.0117,3.681476889164428
AMS.MC,2024,24.423502793296088,0.2474524054032704,21.23699274047187,0.0183,3.358257713248639
ANA.MC,2020,14.450167166168889,0.1136833114466064,24.76149962848084,0.0189,19.535942223439665
ANA.MC,2021,25.060930590361448,0.0769993626679258,22.77672805189719,0.0257,15.242383123371308
ANA.MC,2022,14.19170293495935,0.1258955987717502,17.404221814655173,0.0275,11.914655172413791
ANA.MC,2023,12.901887149722736,0.1080055899381114,20.326208948853616,0.0354,17.44620811287478
ANA.MC,2024,14.019234763033175,0.0876974231088944,17.248852473647226,0.045,16.070976809557273
ANE.MC,2022,15.15602191831357,0.1293015332197615,14.54962566346992,0.0081,5.054054054054054
ANE.MC,2023,16.51482316221374,0.0895726495726495,18.411897609944752,0.0255,9.662983425414364
ANE.MC,2024,16.161562352941175,0.0610987506417936,20.10247725593668,0.0275,13.143799472295514
BBVA.MC,2020,5.881982917708334,0.0861991559665978,72.98062565655172,0.0519,99.02793103448276
BBVA.MC,2021,5.922566001289491,0.1059739904798779,22.722878377811508,0.0341,29.20891403339313
BBVA.MC,2022,4.440007604828661,0.1369015886555069,14.955859767112273,0.074,20.643582269574832
BBVA.MC,2023,5.387300032422996,0.1551033829132898,,0.0635,
BBVA.MC,2024,5.499296299980108,0.180648638936304,,0.0748,
BKT.MC,2020,12.634736081917692,0.0350766504766066,382.0694198678713,0.0408,450.8061038890238
BKT.MC,2021,8.253040197970476,0.0819084696300204,55.46753056607516,0.063,69.55683571676954
BKT.MC,2022,8.550277035288994,0.1142112301127855,124.75179720671213,0.0507,136.19073749694363
BKT.MC,2023,5.680338582388223,0.1587068424592424,79.90694724225631,0.0843,89.35146187352007
BKT.MC,2024,7.1196012522941405,0.162134310501587,,0.0689,
CABK.MC,2020,6.881998957277336,0.0546865718924484,286.2384458594918,0.044,317.711509715994
CABK.MC,2021,2.850907524875622,0.1476521444312595,112.24880298378926,0.0162,130.36028368794325
CABK.MC,2022,7.065721679450304,0.0914110429447852,134.98009261179598,0.0508,134.59656756103456
CABK.MC,2023,4.895100332225914,0.1326465970749442,83.63236537708866,0.0719,85.78292939936776
CABK.MC,2024,6.161893970969413,0.1571230756699519,,0.1078,
CLNX.MC,2020,-230.8631882043576,-0.0165996590023467,462.0693244721403,0.0013,173.96052239053333
CLNX.MC,2021,-89.6261039245541,-0.0271805576777804,-1162.9915098153704,0.0014,-545.1649988926249
CLNX.MC,2022,-67.16503402293121,-0.0220050410991269,214.89769308681676,0.0006,128.0801990092987
CLNX.MC,2023,-84.48160982773705,-0.0213263371581827,131.85508850638888,0.0017,73.53195417835961
CLNX.MC,2024,-785.8442737581572,-0.001980720693308,428.5478448614634,0.0023,247.1677500887223
COL.MC,2020,1458.7265513196485,0.0004419921830155,38.85697890434616,0.0292,26.524916051040968
COL.MC,2021,7.93284079925376,0.0789898069172134,17.321284979692216,0.0304,11.3255410610182
COL.MC,2022,365.6311789697957,0.0012954055557783,84.78639530675235,0.0437,61.4571815145237
COL.MC,2023,-3.265091184947982,-0.2064555644794629,-8.737768380731033,0.0399,-6.145355635179387
COL.MC,2024,8.956052245482198,0.0541443850267379,18.793169785589814,0.0521,14.005383524725898
ELE.MC,2020,12.714139278335724,0.1905673274094326,20.151687778128284,0.0884,11.04521556256572
ELE.MC,2021,12.166426570731709,0.266728624535316,22.988792132011607,0.1098,14.882495164410058
ELE.MC,2022,6.298656991735537,0.4570143884892086,14.711068910507928,0.0622,10.643912926632623
ELE.MC,2023,25.03636168463612,0.10574319509762,29.375951394601543,0.1191,18.790488431876607
ELE.MC,2024,11.370444959745765,0.2327990135635018,14.323139488430268,0.0247,7.873045653533459
ENG.MC,2020,7.1908903586019886,0.1484944105818513,15.287611139785108,0.0573,10.900273512259076
ENG.MC,2021,9.764701995413867,0.1308815951099198,20.29243861742334,0.1121,14.612934895993128
ENG.MC,2022,8.736343012023184,0.1173457294971927,15.62559717288737,0.136,11.62040318315642
ENG.MC,2023,10.449805709314274,0.1148002839440879,14.35164736109664,0.1263,9.252320017265244
ENG.MC,2024,-10.206336929394036,-0.1259844209983996,-32.79738384152665,0.1222,-23.67489628707737
