ticker,Año,PER
ACS.MC,2020,6.763835803805591
ACS.MC,2021,-7.718405786546791
ACS.MC,2022,9.477766142343844
ACS.MC,2023,12.512750312450727
ACS.MC,2024,14.950232069407189
ACX.MC,2020,38.717526697792
ACX.MC,2021,4.380774317079398
ACX.MC,2022,3.5512836523071503
ACX.MC,2023,10.586272329569363
ACX.MC,2024,10.148808940812462
AENA.MC,2020,-117.43774394704757
AENA.MC,2021,-205.69541632434363
AENA.MC,2022,17.297856126296313
AENA.MC,2023,13.80864886492267
AENA.MC,2024,14.62291854511163
AMS.MC,2020,-41.80400744818653
AMS.MC,2021,-188.87901243599123
AMS.MC,2022,32.72650210716436
AMS.MC,2023,25.91474409448819
AMS.MC,2024,24.423502793296088
ANA.MC,2020,14.450167166168887
ANA.MC,2021,25.060930590361448
ANA.MC,2022,14.19170293495935
ANA.MC,2023,12.901887149722736
ANA.MC,2024,14.019234763033175
ANE.MC,2021,27.999906396694215
ANE.MC,2022,15.15602191831357
ANE.MC,2023,16.51482316221374
ANE.MC,2024,16.161562352941175
BBVA.MC,2020,5.881982917708334
BBVA.MC,2021,5.922566001289491
BBVA.MC,2022,4.440007604828661
BBVA.MC,2023,5.387300032422996
BBVA.MC,2024,5.499296299980108
BKT.MC,2020,12.634736081917692
BKT.MC,2021,8.253040197970476
BKT.MC,2022,8.550277035288994
BKT.MC,2023,5.680338582388223
BKT.MC,2024,7.1196012522941405
CABK.MC,2020,6.881998957277336
CABK.MC,2021,2.850907524875622
CABK.MC,2022,7.065721679450304
CABK.MC,2023,4.895100332225914
CABK.MC,2024,6.161893970969413
CLNX.MC,2020,-230.8631882043576
CLNX.MC,2021,-89.6261039245541
CLNX.MC,2022,-67.16503402293121
CLNX.MC,2023,-84.48160982773705
CLNX.MC,2024,-767.6421750882574
COL.MC,2020,1458.7265513196483
COL.MC,2021,7.93284079925376
COL.MC,2022,365.6311789697957
COL.MC,2023,-3.265091184947982
COL.MC,2024,8.956052245482198
ELE.MC,2020,12.714139278335724
ELE.MC,2021,12.166426570731707
ELE.MC,2022,6.298656991735537
ELE.MC,2023,25.03636168463612
ELE.MC,2024,11.370444959745763
ENG.MC,2020,7.1908903586019886
ENG.MC,2021,9.764701995413867
ENG.MC,2022,8.736343012023184
ENG.MC,2023,10.449805709314274
ENG.MC,2024,-10.27444083539085
FDR.MC,2020,37.04106210316637
FDR.MC,2021,23.537001509730032
FDR.MC,2022,15.868729439570814
FDR.MC,2023,30.634198485420864
FDR.MC,2024,32.339999999999996
FER.MC,2020,-42.288333185393256
FER.MC,2021,15.619564368948247
FER.MC,2022,91.30562332972973
FER.MC,2023,51.15199793478261
FER.MC,2024,9.141222241432542
GRF.MC,2020,25.949343521742925
GRF.MC,2021,43.54157850501456
GRF.MC,2022,35.0802684812199
GRF.MC,2023,176.8857124673354
GRF.MC,2024,39.674632073668114
IAG.MC,2020,-0.9004545118961788
IAG.MC,2021,-2.843309785202864
IAG.MC,2022,15.748398888631092
IAG.MC,2023,3.497842561205273
IAG.MC,2024,6.750222703879941
IBE.MC,2020,17.2229110052617
IBE.MC,2021,14.830421840411837
IBE.MC,2022,14.569455787047708
IBE.MC,2023,14.438017069539871
IBE.MC,2024,14.396569124732714
IDR.MC,2020,-22.30369057024031
IDR.MC,2021,12.192985861657682
IDR.MC,2022,11.572989010733297
IDR.MC,2023,11.992909648508885
IDR.MC,2024,10.796774717969596
ITX.MC,2020,65.02925636166366
ITX.MC,2021,24.76188237619488
ITX.MC,2022,17.4346705157385
ITX.MC,2023,21.926284675710836
ITX.MC,2024,25.890848237160665
LOG.MC,2020,9.756325726537051
LOG.MC,2021,10.401756514391158
LOG.MC,2022,13.088049464917926
LOG.MC,2023,10.477421819330479
LOG.MC,2024,11.926243398705534
MAP.MC,2020,4.188030494699647
MAP.MC,2021,4.326477404403244
MAP.MC,2022,4.432394361505813
MAP.MC,2023,8.235753165977554
MAP.MC,2024,7.735753806718346
MRL.MC,2020,49.25045555200681
MRL.MC,2021,0.06959842801000357
MRL.MC,2022,14.141948009593786
MRL.MC,2023,-71.88438291196091
MRL.MC,2024,20.137118639408794
MTS.MC,2020,-37.20318339100346
MTS.MC,2021,1.3534644862094216
MTS.MC,2022,2.20312620941733
MTS.MC,2023,22.696300326441783
MTS.MC,2024,12.897415982076177
NTGY.MC,2020,-257.88092334545456
NTGY.MC,2021,18.757183443163097
NTGY.MC,2022,12.27807676228017
NTGY.MC,2023,11.963447558912389
NTGY.MC,2024,11.532853468700683
PUIG.MC,2024,18.92709895241487
RED.MC,2020,11.314662639954282
RED.MC,2021,12.463244799280664
RED.MC,2022,11.513413061825009
RED.MC,2023,10.830592703439477
RED.MC,2024,23.90809859460751
REP.MC,2020,-2.9754102349397593
REP.MC,2021,5.148005102040816
REP.MC,2022,3.9774528746177373
REP.MC,2023,4.74409625
REP.MC,2024,8.31378132118451
ROVI.MC,2020,32.161104869220566
ROVI.MC,2021,24.468804693062967
ROVI.MC,2022,9.22460532180759
ROVI.MC,2023,18.077026694455043
ROVI.MC,2024,23.511754407112747
SAB.MC,2020,537.4541867109634
SAB.MC,2021,5.0570065517748635
SAB.MC,2022,4.716872790625506
SAB.MC,2023,4.056339264264264
SAB.MC,2024,5.252803595511768
SAN.MC,2020,-4.8285812376751425
SAN.MC,2021,5.4336674372230425
SAN.MC,2022,6.415378553878188
SAN.MC,2023,5.106115585409896
SAN.MC,2024,5.69959837760458
SCYR.MC,2020,8.656929667138618
SCYR.MC,2021,-11.616391897478296
SCYR.MC,2022,13.829103930652575
