ticker,Año,Deuda_financiera,EBIT,deuda_financiera/EBIT
IDR.MC,2020,3272319000.0,-20207000.0,-161.93987232147276
IDR.MC,2021,3215597000.0,261299000.0,12.306197115182224
IDR.MC,2022,2978580000.0,320184000.0,9.30271343977213
IDR.MC,2023,2988615000.0,386702000.0,7.728470501833453
IDR.MC,2024,2961664000.0,438335000.0,6.756622218166471
ITX.MC,2020,9493000000.0,1496000000.0,6.345588235294118
ITX.MC,2021,8462000000.0,4254000000.0,1.9891866478608369
ITX.MC,2022,8576000000.0,5449000000.0,1.573866764543953
ITX.MC,2023,8431000000.0,6924888000.0,1.2174926150430159
ITX.MC,2024,9003000000.0,7929121000.0,1.1354348104916043
LOG.MC,2020,6348804000.0,229349000.0,27.681847315663028
LOG.MC,2021,6039233000.0,259830000.0,23.243016587768924
LOG.MC,2022,5826909000.0,285034000.0,20.442855939993123
LOG.MC,2023,6048275000.0,372470000.0,16.2382876473273
LOG.MC,2024,5992162000.0,427526000.0,14.015900787320538
MAP.MC,2020,58359700000.0,318300000.0,183.34809927741125
MAP.MC,2021,53222800000.0,295100000.0,180.3551338529312
MAP.MC,2022,50208000000.0,1242500000.0,40.40885311871227
MAP.MC,2023,2165200000.0,1614400000.0,1.3411793855302279
MAP.MC,2024,,,
MRL.MC,2020,6731551000.0,191674000.0,35.1197919383954
MRL.MC,2021,7200154000.0,516184000.0,13.948812826433985
MRL.MC,2022,5125645000.0,151538000.0,33.82415631722736
MRL.MC,2023,5439988000.0,34524000.0,157.57119684856912
MRL.MC,2024,5841183000.0,426168000.0,13.706291884890465
MTS.MC,2020,32247000000.0,1565000000.0,20.60511182108626
MTS.MC,2021,26744000000.0,18382000000.0,1.4549015341094549
MTS.MC,2022,28229000000.0,11656000000.0,2.4218428277282085
MTS.MC,2023,26711000000.0,1975000000.0,13.524556962025317
MTS.MC,2024,27532000000.0,3425000000.0,8.038540145985401
NTGY.MC,2020,28999000000.0,541000000.0,53.60258780036968
