ticker,Año,Date,Ultimo Precio
IBE.MC,2021,2021-12-30 00:00:00+01:00,8.95
IBE.MC,2022,2022-12-30 00:00:00+01:00,9.82
IBE.MC,2023,2023-12-29 00:00:00+01:00,11.15
IBE.MC,2024,2024-12-31 00:00:00+01:00,13.08
IBE.MC,2025,2025-05-02 00:00:00+02:00,15.79
IDR.MC,2020,2020-12-31 00:00:00+01:00,6.63
IDR.MC,2021,2021-12-30 00:00:00+01:00,9.05
IDR.MC,2022,2022-12-30 00:00:00+01:00,10.29
IDR.MC,2023,2023-12-29 00:00:00+01:00,13.82
IDR.MC,2024,2024-12-31 00:00:00+01:00,17.08
IDR.MC,2025,2025-05-02 00:00:00+02:00,29.26
ITX.MC,2020,2020-12-31 00:00:00+01:00,23.09
ITX.MC,2021,2021-12-30 00:00:00+01:00,25.78
ITX.MC,2022,2022-12-30 00:00:00+01:00,23.14
ITX.MC,2023,2023-12-29 00:00:00+01:00,37.9
ITX.MC,2024,2024-12-31 00:00:00+01:00,48.78
ITX.MC,2025,2025-05-02 00:00:00+02:00,47.91
LOG.MC,2020,2020-12-31 00:00:00+01:00,11.51
LOG.MC,2021,2021-12-30 00:00:00+01:00,13.65
LOG.MC,2022,2022-12-30 00:00:00+01:00,19.65
LOG.MC,2023,2023-12-29 00:00:00+01:00,21.61
LOG.MC,2024,2024-12-31 00:00:00+01:00,27.69
LOG.MC,2025,2025-05-02 00:00:00+02:00,30.5
MAP.MC,2020,2020-12-31 00:00:00+01:00,1.19
MAP.MC,2021,2021-12-30 00:00:00+01:00,1.45
MAP.MC,2022,2022-12-30 00:00:00+01:00,1.57
MAP.MC,2023,2023-12-29 00:00:00+01:00,1.82
MAP.MC,2024,2024-12-31 00:00:00+01:00,2.44
MAP.MC,2025,2025-05-02 00:00:00+02:00,3.16
MRL.MC,2020,2020-12-31 00:00:00+01:00,5.97
MRL.MC,2021,2021-12-30 00:00:00+01:00,7.71
MRL.MC,2022,2022-12-30 00:00:00+01:00,7.99
