year,annual,ticker,Acciones Circulacion
2024,16325.0,SAN.MC,16325000000.0
2023,15886.3304,SAN.MC,15886330400.0
2022,24355.617,SAN.MC,24355617000.0
2021,17311.0252,SAN.MC,17311025200.0
2020,17311.0252,SAN.MC,17311025200.0
2024,774.2459,SCYR.MC,774245900.0
2023,679.261,SCYR.MC,679261000.0
2022,679.261,SCYR.MC,679261000.0
2021,624.4456,SCYR.MC,624445600.0
2020,599.9631,SCYR.MC,599963100.0
2024,124.9509,SLR.MC,124950900.0
2023,124.9509,SLR.MC,124950900.0
2022,124.9509,SLR.MC,124950900.0
2021,124.9509,SLR.MC,124950900.0
2020,124.9509,SLR.MC,124950900.0
2024,5672.27,TEF.MC,5672270000.0
2023,5651.0,TEF.MC,5651000000.0
2022,5699.0,TEF.MC,5699000000.0
2021,5668.0,TEF.MC,5668000000.0
2020,5435.0,TEF.MC,5435000000.0
2024,2569.1575,UNI.MC,2569157500.0
2023,2651.9062,UNI.MC,2651906200.0
2022,2654.5484,UNI.MC,2654548400.0
2021,2650.5016,UNI.MC,2650501600.0
2020,1579.5824,UNI.MC,1579582400.0
