ticker,Año,totalRevenue,netIncome,EBIT
LOG.MC,2021,10816832000.0,173961000.0,259830000.0
LOG.MC,2022,11463646000.0,198848000.0,285034000.0
LOG.MC,2023,12427536000.0,272254000.0,372470000.0
LOG.MC,2024,12985534000.0,308235000.0,427526000.0
MAP.MC,2020,19145700000.0,820700000.0,318300000.0
MAP.MC,2021,20581600000.0,1035600000.0,295100000.0
MAP.MC,2022,21557200000.0,1083800000.0,1242500000.0
MAP.MC,2023,27125300000.0,677200000.0,1614400000.0
MAP.MC,2024,25833400000.0,967500000.0,
MRL.MC,2020,446132000.0,56358000.0,191674000.0
MRL.MC,2021,382830000.0,512217000.0,516184000.0
MRL.MC,2022,439038000.0,263087000.0,151538000.0
MRL.MC,2023,464779000.0,-83497000.0,34524000.0
MRL.MC,2024,494572000.0,283759000.0,426168000.0
MTS.MC,2020,53270000000.0,-578000000.0,1565000000.0
MTS.MC,2021,76571000000.0,20485000000.0,18382000000.0
MTS.MC,2022,79844000000.0,9302000000.0,11656000000.0
MTS.MC,2023,68275000000.0,919000000.0,1975000000.0
MTS.MC,2024,62441000000.0,1339000000.0,3425000000.0
NTGY.MC,2020,15345000000.0,-55000000.0,541000000.0
NTGY.MC,2021,22140000000.0,1214000000.0,2299000000.0
NTGY.MC,2022,33965000000.0,1649000000.0,3242000000.0
NTGY.MC,2023,22617000000.0,1986000000.0,3738000000.0
NTGY.MC,2024,19267000000.0,1901000000.0,3694000000.0
PUIG.MC,2023,4304067000.0,465209000.0,702612000.0
PUIG.MC,2024,4789779000.0,530649000.0,769313000.0
PUIG.MC,2020,1537000000.0,-70000000.0,-68000000.0
PUIG.MC,2021,2585012000.0,221039000.0,394286000.0
PUIG.MC,2022,3619603000.0,399490000.0,522322000.0
RED.MC,2020,1985751000.0,621185000.0,911624000.0
RED.MC,2021,1952958000.0,680627000.0,1003551001.0
RED.MC,2022,2015036000.0,664731000.0,934605000.0
RED.MC,2023,2064071000.0,689640000.0,907579000.0
RED.MC,2024,1594204000.0,368438000.0,819205000.0
REP.MC,2020,33282000000.0,-3320000000.0,-2155000000.0
REP.MC,2021,49745000000.0,2499000000.0,4434000000.0
REP.MC,2022,75153000000.0,4251000000.0,6606000000.0
REP.MC,2023,58948000000.0,3168000000.0,4781000000.0
REP.MC,2024,57122000000.0,1756000000.0,2673000000.0
ROVI.MC,2020,419961000.0,61057000.0,73684000.0
ROVI.MC,2021,648677000.0,153077000.0,183351000.0
ROVI.MC,2022,817698000.0,199669000.0,258617000.0
ROVI.MC,2023,829509000.0,170335000.0,221481000.0
ROVI.MC,2024,763749000.0,136881000.0,179678000.0
SAB.MC,2020,5779557000.0,3010000.0,-156754999.0
SAB.MC,2021,5394914000.0,530238000.0,519709000.0
SAB.MC,2022,5387000000.0,889392000.0,1120479000.0
SAB.MC,2023,4985383000.0,1332000000.0,1767971000.0
SAB.MC,2024,6511000000.0,1827000000.0,
SAN.MC,2020,46812000000.0,-7708000000.0,-3139000000.0
SAN.MC,2021,48406000000.0,8124000000.0,14115000000.0
SAN.MC,2022,54216000000.0,9605000000.0,46902000000.0
SAN.MC,2023,59593000000.0,11076000000.0,15846000000.0
SAN.MC,2024,63489000000.0,12574000000.0,
SCYR.MC,2020,4547878000.0,110887000.0,876067000.0
SCYR.MC,2021,4675366000.0,-101598000.0,257709000.0
SCYR.MC,2022,5851724000.0,110516000.0,1029792000.0
SCYR.MC,2023,4609428000.0,153222000.0,1273391000.0
SCYR.MC,2024,4571004000.0,113373000.0,1178775000.0
SLR.MC,2020,53266000.0,30414000.0,33562000.0
SLR.MC,2021,95070000.0,48035000.0,73291000.0
SLR.MC,2022,139281000.0,90048000.0,122740000.0
SLR.MC,2023,191322000.0,107514000.0,170023000.0
SLR.MC,2024,176906000.0,88614000.0,158239000.0
TEF.MC,2020,43076000000.0,1582000000.0,4460000000.0
TEF.MC,2021,39277000000.0,8137000000.0,14133000000.0
TEF.MC,2022,39993000000.0,2011000000.0,4740000000.0
TEF.MC,2023,40652000000.0,-892000000.0,1541000000.0
TEF.MC,2024,41315000000.0,-49000000.0,3555000000.0
UNI.MC,2020,1033204000.0,77831000.0,70445000.0
UNI.MC,2021,1247682000.0,1113202000.0,993061000.0
UNI.MC,2022,1754926000.0,277576000.0,319863000.0
UNI.MC,2023,1977103000.0,266703000.0,278623000.0
UNI.MC,2024,2128430000.0,573334000.0,-86850000.0
