ticker,PER
ACS.MC,5.800500311366553
ACX.MC,35.619329364513035
AENA.MC,-117.66393435066067
AMS.MC,-41.952478950777206
ANA.MC,14.414651031385965
ANE.MC,27.565226181818183
BBVA.MC,4.878671875
BKT.MC,13.106457392922369
CABK.MC,8.194706871832006
CLNX.MC,-245.5609389556724
COL.MC,1527.4090322580646
ELE.MC,12.71171594117647
ENG.MC,7.131405376552358
FDR.MC,36.25907449060049
FER.MC,-42.158442168539324
GRF.MC,25.839322797334393
IAG.MC,-1.2966386781542898
IBE.MC,16.57544565328164
IDR.MC,-20.240830337411033
ITX.MC,65.1422658363472
LOG.MC,9.721418757634364
MAP.MC,4.447606077738516
MRL.MC,54.00912541254125
MTS.MC,-24.843321799307958
NTGY.MC,-257.8261234909091
PUIG.MC,21.58953530993596
RED.MC,11.327986348672296
REP.MC,-2.556927710843374
ROVI.MC,29.68337299572531
SAB.MC,520.5548172757475
SAN.MC,-4.553548261546445
SCYR.MC,11.171674226915691
SLR.MC,97.1210388636812
TEF.MC,8.497648482932997
UNI.MC,18.815379154835476
