ticker,Año,totalRevenue,netIncome,EBIT,annual,Acciones Circulacion,Date,Ultimo Precio,BPA,PER
BKT.MC,2020,1846011000.0,174126000.0,201773000.0,897.9739,897973900.0,2020-12-31 00:00:00+01:00,2.45,0.1939098675362391,12.634736081917692
BKT.MC,2021,2002206000.0,397433000.0,1472384000.0,898.6385,898638500.0,2021-12-30 00:00:00+01:00,3.65,0.4422612652362435,8.253040197970476
BKT.MC,2022,2231567000.0,560203000.0,748437000.0,898.6662,898666200.0,2022-12-30 00:00:00+01:00,5.33,0.6233716145104823,8.550277035288994
BKT.MC,2023,4578112000.0,844787000.0,1197265000.0,898.6285,898628500.0,2023-12-29 00:00:00+01:00,5.34,0.9400848070142445,5.680338582388223
BKT.MC,2024,3082391000.0,952971000.0,,898.6455,898645500.0,2024-12-31 00:00:00+01:00,7.55,1.0604526479017589,7.1196012522941405
CABK.MC,2020,9123000000.0,1381000000.0,1338000000.0,5977.384,5977384000.0,2020-12-31 00:00:00+01:00,1.59,0.231037524107536,6.881998957277336
CABK.MC,2021,11355000000.0,5226000000.0,4935000000.0,8053.4285,8053428500.0,2021-12-30 00:00:00+01:00,1.85,0.6489161727828092,2.850907524875622
CABK.MC,2022,13036000000.0,3129000000.0,4137000000.0,7494.4553,7494455300.0,2022-12-30 00:00:00+01:00,2.95,0.41750866136995973,7.065721679450304
CABK.MC,2023,12919000000.0,4816000000.0,6643000000.0,7367.126,7367126000.0,2023-12-29 00:00:00+01:00,3.2,0.6537148950621993,4.895100332225914
CABK.MC,2024,16411000000.0,5787000000.0,,7117.541,7117541000.0,2024-12-31 00:00:00+01:00,5.01,0.8130617020681722,6.161893970969413
CLNX.MC,2020,1562262000.0,-133100000.0,90507000.0,679.0694,679069400.0,2020-12-31 00:00:00+01:00,45.25,-0.19600353071423923,-230.8631882043576
CLNX.MC,2021,2532799000.0,-386184000.0,-49667000.0,679.0694,679069400.0,2021-12-30 00:00:00+01:00,50.97,-0.5686959241573836,-89.6261039245541
CLNX.MC,2022,3247713000.0,-312936000.0,230140000.0,682.1927,682192700.0,2022-12-30 00:00:00+01:00,30.81,-0.45872082770747913,-67.16503402293121
CLNX.MC,2023,3804076000.0,-297220000.0,408366000.0,705.5247,705524700.0,2023-12-29 00:00:00+01:00,35.59,-0.42127511623618563,-84.48160982773705
CLNX.MC,2024,4070205000.0,-28043000.0,115529000.0,705.5716,705571600.0,2024-12-31 00:00:00+01:00,30.51,-0.03974508044258017,-767.6421750882574
COL.MC,2020,346651000.0,2387000.0,260575000.0,507.5773,507577300.0,2020-12-31 00:00:00+01:00,6.86,0.004702731977966706,1458.7265513196483
COL.MC,2021,316719000.0,473842000.0,590414000.0,519.905,519905000.0,2021-12-30 00:00:00+01:00,7.23,0.9114011213587098,7.93284079925376
COL.MC,2022,361613000.0,7979000.0,118255000.0,531.3973,531397300.0,2022-12-30 00:00:00+01:00,5.49,0.015015130863480112,365.6311789697957
COL.MC,2023,387282000.0,-1018973000.0,-1115244000.0,531.476,531476000.0,2023-12-29 00:00:00+01:00,6.26,-1.9172512023120518,-3.265091184947982
COL.MC,2024,502412000.0,307395000.0,461965000.0,531.476,531476000.0,2024-12-31 00:00:00+01:00,5.18,0.5783798327676132,8.956052245482198
ELE.MC,2020,16644000000.0,1394000000.0,1902000000.0,1058.7521,1058752100.0,2020-12-31 00:00:00+01:00,16.74,1.3166443778482233,12.714139278335724
ELE.MC,2021,20522000000.0,1435000000.0,2068000000.0,1058.7521,1058752100.0,2021-12-30 00:00:00+01:00,16.49,1.355369212490818,12.166426570731707
ELE.MC,2022,32540000000.0,2541000000.0,3721000000.0,1058.5243,1058524300.0,2022-12-30 00:00:00+01:00,15.12,2.400511731284771,6.298656991735537
ELE.MC,2023,25070000000.0,742000000.0,1556000000.0,1058.5174,1058517400.0,2023-12-29 00:00:00+01:00,17.55,0.7009804468022915,25.03636168463612
ELE.MC,2024,20935000000.0,1888000000.0,3198000000.0,1058.5503,1058550300.0,2024-12-31 00:00:00+01:00,20.28,1.783571361700998,11.370444959745763
ENG.MC,2020,1053604000.0,444002000.0,530872000.0,261.4881,261488100.0,2020-12-31 00:00:00+01:00,12.21,1.6979816672345702,7.1908903586019886
ENG.MC,2021,975686000.0,403826000.0,440019000.0,261.4881,261488100.0,2021-12-30 00:00:00+01:00,15.08,1.5443379641368,9.764701995413867
ENG.MC,2022,957100000.0,375774000.0,480278000.0,261.1687,261168700.0,2022-12-30 00:00:00+01:00,12.57,1.4388171323745915,8.736343012023184
ENG.MC,2023,907570000.0,342528000.0,537496000.0,261.2665,261266500.0,2023-12-29 00:00:00+01:00,13.7,1.3110291598808113,10.449805709314274
ENG.MC,2024,905546000.0,-299309000.0,-192840000.0,261.0554,261055400.00000003,2024-12-31 00:00:00+01:00,11.78,-1.146534413768112,-10.27444083539085
FDR.MC,2020,1510860000.0,96388000.0,180748000.0,193.9334,193933400.0,2020-12-31 00:00:00+01:00,18.41,0.4970159859003142,37.04106210316637
FDR.MC,2021,2218578000.0,252363000.0,378182000.0,189.8328,189832800.0,2021-12-30 00:00:00+01:00,31.29,1.3293961844317737,23.537001509730032
FDR.MC,2022,2428437000.0,159931000.0,296661000.0,186.3364,186336400.0,2022-12-30 00:00:00+01:00,13.62,0.8582917776666288,15.868729439570814
FDR.MC,2023,2083496000.0,113827000.0,226295000.0,189.8203,189820300.0,2023-12-29 00:00:00+01:00,18.37,0.599656622605696,30.634198485420864
FDR.MC,2024,2136402000.0,138068000.0,256764000.0,189.8435,189843500.0,2024-12-31 00:00:00+01:00,23.52,0.7272727272727273,32.339999999999996
FER.MC,2020,6341000000.0,-356000000.0,-117000000.0,731.5183,731518300.0,2020-12-31 00:00:00+01:00,20.58,-0.48665904872099575,-42.288333185393256
