ticker,Año,Market_Cap,Deuda_financiera,EV,EBIT,EV/EBIT
ENG.MC,2021,3943240548.0,6429969000.0,8929058548.0,440019000.0,20.29243861742334
ENG.MC,2022,3282890559.0,5581024000.0,7504630559.0,480278000.0,15.62559717288737
ENG.MC,2023,3579351050.0,4973085000.0,7713953050.0,537496000.0,14.35164736109664
ENG.MC,2024,3075232612.0,4565467000.0,6345031612.0,-192840000.0,-32.90308863306368
FDR.MC,2020,3570313894.0,1175208000.0,4519890894.0,180748000.0,25.00658869807688
FDR.MC,2021,5939868312.0,1602947000.0,7455007312.0,378182000.0,19.712750241947
FDR.MC,2022,2537901768.0,1895804000.0,4358554768.0,296661000.0,14.692038279382865
FDR.MC,2023,3486998911.0,1729904000.0,5105599911.0,226295000.0,22.5617000419806
FDR.MC,2024,4465119120.0,1724716000.0,6027622120.0,256764000.0,23.475339689364553
FER.MC,2020,15054646613.999998,18496000000.0,27126646614.0,-117000000.0,-231.85168046153845
FER.MC,2021,18712238114.0,19304000000.0,32548238114.0,340000000.0,95.7301121
FER.MC,2022,16891540316.0,20508000000.0,32307540316.0,457000000.0,70.69483657768052
FER.MC,2023,23529919050.0,20854000000.0,39625919050.0,908000000.0,43.640880011013216
FER.MC,2024,29608418840.0,21143000000.0,45941418840.0,4098000000.0,11.210692737920937
GRF.MC,2020,16050862637.999998,9564766000.0,25035981638.0,1047303000.0,23.9051942350972
GRF.MC,2021,11552756400.0,12508200000.0,23405463400.0,562704000.0,41.59462772612244
GRF.MC,2022,7306483239.0,14672121000.0,21430625239.0,755785000.0,28.355451932758655
GRF.MC,2023,10491976035.0,14800774000.0,24763173035.0,735574000.0,33.66510104353879
GRF.MC,2024,6225743265.0,14669209000.0,19915172265.0,1319519000.0,15.092751423056432
IAG.MC,2020,6244652040.0,27345000000.0,27815652040.0,-5823207771.0,-4.776688920241517
IAG.MC,2021,8339427600.0,31498000000.0,31945427600.0,-2944000000.0,-10.85102839673913
IAG.MC,2022,6787559921.000001,34318000000.0,31909559921.0,1392000000.0,22.923534426005748
IAG.MC,2023,9286772000.0,31231000000.0,35076772000.0,4157227179.0,8.437540333900525
IAG.MC,2024,18441608427.0,34284000000.0,44536608427.0,4465000000.0,9.974604350951848
IBE.MC,2020,62191931640.0,80675000000.0,139439931640.0,6116000000.0,22.799203996075867
IBE.MC,2021,57616188849.99999,93946000000.0,147529188850.0,7586000000.0,19.447559827313473
IBE.MC,2022,63216868660.0,105083000000.0,163691868660.0,8056000000.0,20.31924884061569
IBE.MC,2023,69345795985.0,101810000000.0,168136795985.0,9140000000.0,18.39571072045952
IBE.MC,2024,80793545928.0,102653000000.0,179364545928.0,9877140000.0,18.159562983616716
IDR.MC,2020,1281726186.0,3272319000.0,3369192186.0,-20207000.0,-166.7339132973722
IDR.MC,2021,1748096190.0000002,3215597000.0,3728668190.0,261299000.0,14.269737695130866
IDR.MC,2022,1989338945.9999998,2978580000.0,4034879946.0,320184000.0,12.60175382280189
IDR.MC,2023,2467565146.0,2988615000.0,4860439146.0,386702000.0,12.568952697425924
IDR.MC,2024,2996547651.9999995,2961664000.0,5403064652.0,438335000.0,12.326336368302782
ITX.MC,2020,71922357536.0,9493000000.0,76635357536.0,1496000000.0,51.22684327272727
ITX.MC,2021,80302784546.0,8462000000.0,81366784546.0,4254000000.0,19.127123776680772
ITX.MC,2022,72005189230.0,8576000000.0,73560189230.0,5449000000.0,13.499759447605065
ITX.MC,2023,117985337840.0,8431000000.0,120855337840.0,6924888000.0,17.452316606420204
ITX.MC,2024,151879159242.0,9003000000.0,153875159242.0,7929121000.0,19.40633258617191
LOG.MC,2020,1533538303.0,6348804000.0,7719601303.0,229349000.0,33.658752830838594
LOG.MC,2021,1809499965.0,6039233000.0,7676972965.0,259830000.0,29.546137724666128
LOG.MC,2022,2602532460.0,5826909000.0,8210708460.0,285034000.0,28.806066855182188
LOG.MC,2023,2852520000.0,6048275000.0,8707835000.0,372470000.0,23.3786210970011
LOG.MC,2024,3676085634.0,5992162000.0,9499075634.0,425738000.0,22.31202202763202
MAP.MC,2020,3437116627.0,58359700000.0,59377916627.0,318300000.0,186.54702050581213
MAP.MC,2021,4480500000.0,53222800000.0,54815700000.0,295100000.0,185.75296509657744
MAP.MC,2022,4803829009.0,50208000000.0,52437229009.0,1242500000.0,42.203001214486925
MAP.MC,2023,5577252044.0,2165200000.0,5656452044.0,1614400000.0,3.5037487884043608
MAP.MC,2024,7484341808.0,47818100000.0,53555741808.0,2063900000.0,25.948806535200347
MRL.MC,2020,2775657174.0,6731551000.0,9255186174.0,191674000.0,48.28608039692394
MRL.MC,2021,35649498.0,7200154000.0,6375616498.0,516184000.0,12.351441536351379
MRL.MC,2022,3720562676.0,5125645000.0,8421478676.0,151538000.0,55.57337879607755
MRL.MC,2023,6002130320.0,5439988000.0,10986422320.0,34524000.0,318.22564940331364
MRL.MC,2024,5714088648.0,5841183000.0,10004815648.0,426168000.0,23.476224512398865
MTS.MC,2020,21503440000.0,32247000000.0,47787440000.0,1565000000.0,30.535105431309905
MTS.MC,2021,27725720000.0,26744000000.0,50098720000.0,18382000000.0,2.7254226961157655
MTS.MC,2022,20493480000.0,28229000000.0,39308480000.0,11656000000.0,3.372381606039808
MTS.MC,2023,20857900000.0,26711000000.0,39882900000.0,1975000000.0,20.19387341772152
MTS.MC,2024,17269640000.0,27532000000.0,38401640000.0,3425000000.0,11.212157664233576
NTGY.MC,2020,14183450784.0,28999000000.0,39255450784.0,541000000.0,72.5609071792976
NTGY.MC,2021,22771220700.0,28953000000.0,47759220700.0,2299000000.0,20.77391070030448
NTGY.MC,2022,20246548581.0,28345000000.0,44606548581.0,3242000000.0,13.75896008050586
NTGY.MC,2023,23759406852.0,25689000000.0,45762406852.0,3738000000.0,12.242484444087747
NTGY.MC,2024,21923954444.0,28315000000.0,44612954444.0,3694000000.0,12.077139806172172
PUIG.MC,2024,10043646131.999998,4847604000.0,14008604131.999998,769313000.0,18.209238803971854
RED.MC,2020,7028498712.0,8947985000.0,15494711712.0,911624000.0,16.996822935771764
RED.MC,2021,8482820918.0,9971087000.0,16879480918.0,1003551000.0,16.819753971646684
RED.MC,2022,7653322578.0,9506361000.0,16364859578.0,934605000.0,17.509920852124694
RED.MC,2023,7469209952.0,8740533000.0,15534325952.0,907579000.0,17.11622454023286
RED.MC,2024,8808652030.0,9539012000.0,17458026030.0,819205000.0,21.31093685951624
REP.MC,2020,9878361980.0,26536000000.0,32093361980.0,-2155000000.0,-14.89251135962877
REP.MC,2021,12864864750.0,28292000000.0,35561864750.0,4434000000.0,8.020267196662155
REP.MC,2022,16908152170.0,29634000000.0,40030152170.0,6606000000.0,6.0596657841356345
REP.MC,2023,15029296919.999998,30540000000.0,41440296920.0,4781000000.0,8.667704856724535
REP.MC,2024,14599000000.0,31223000000.0,41064000000.0,2673000000.0,15.362514029180696
ROVI.MC,2020,1963660580.0000002,137287000.0,2047785580.0000002,73684000.0,27.791455132728952
ROVI.MC,2021,3745611216.0,164293000.0,3810869216.0,183351000.0,20.784556484556944
ROVI.MC,2022,1841867720.0,234790000.0,1951712720.0,258617000.0,7.546730184017292
ROVI.MC,2023,3079150342.0,152904000.0,3206732342.0,221481000.0,14.478588872183167
ROVI.MC,2024,3218312455.0,173143000.0,3364269455.0,179678000.0,18.72388080343726
SAB.MC,2020,1617737102.0,222735496000.0,187539136102.0,-156754999.0,-1196.3837663767265
SAB.MC,2021,2681417040.0,238302935000.0,190605533040.0,519709000.0,366.75434337292603
SAB.MC,2022,4195148925.0,237157131000.0,195229279925.0,1120479000.0,174.23733949944622
SAB.MC,2023,5403043900.0,220189380000.0,194632037900.0,1767971000.0,110.08780002613165
SAB.MC,2024,9596872169.0,223813475000.0,202256347169.0,3022000000.0,66.927977223362
SAN.MC,2020,37218704180.0,1424776000000.0,1308155704180.0,-3139000000.0,-416.74281751513223
SAN.MC,2021,44143114260.0,1506505000000.0,1339959114260.0,14115000000.0,94.93157026284095
SAN.MC,2022,61619711009.99999,1642530000000.0,1481076711010.0,46902000000.0,31.57811417444885
SAN.MC,2023,56555336224.0,1699584000000.0,1425248336224.0,15846000000.0,89.94372940956708
SAN.MC,2024,71666750000.0,1736026000000.0,1589800750000.0,18922000000.0,84.0186423211077
SCYR.MC,2020,959940960.0,12867646000.0,12530639960.0,876067000.0,14.303289542923087
SCYR.MC,2021,1180202184.0,12745071000.0,12305047184.0,257709000.0,47.74783645119107
SCYR.MC,2022,1528337250.0,15809449000.0,15609693250.0,1029792000.0,15.158103044109879
SCYR.MC,2023,1983442120.0,15129515000.0,15432589120.0,1273391000.0,12.119285529739098
SCYR.MC,2024,2400162290.0,14619078000.0,15398481290.0,1169069000.0,13.171576091744798
SLR.MC,2020,2953839276.0,432235000.0,3321123276.0,33562000.0,98.95486788629998
SLR.MC,2021,2139159408.0000002,711490000.0,2709486408.0,73291000.0,36.96888305521824
SLR.MC,2022,2139159408.0000002,1001784000.0,3002657408.0,122740000.0,24.463560436695452
SLR.MC,2023,2325336249.0,1097685000.0,3357184249.0,170023000.0,19.74547119507361
SLR.MC,2024,977116038.0,1232452000.0,2155219038.0,158239000.0,13.620024380841638
TEF.MC,2020,12880950000.0,82904000000.0,90180950000.0,4460000000.0,20.21994394618834
TEF.MC,2021,17457440000.0,73796000000.0,82673440000.0,14133000000.0,5.849673813061629
TEF.MC,2022,16584090000.0,71045000000.0,80384090000.0,4740000000.0,16.958668776371308
TEF.MC,2023,18591790000.0,82329000000.0,93769790000.0,1541000000.0,60.849961064244
TEF.MC,2024,22209780000.0,70569000000.0,84716780000.0,3555000000.0,23.830317862165963
UNI.MC,2020,900361967.9999999,61305925000.0,55539097968.0,70445000.0,788.4036903683725
UNI.MC,2021,1855351120.0,109018104000.0,89575952120.0,993061000.0,90.20186284629041
UNI.MC,2022,2282911624.0,92385910000.0,90007903624.0,319863000.0,281.39517113264117
UNI.MC,2023,2068486836.0,90332041000.0,84362727836.0,278623000.0,302.7845075101481
UNI.MC,2024,3134517574.0,90445997000.0,86079230574.0,-86850000.0,-991.1252800690846
