ticker,Año,totalPatrimonioNeto,netIncome,ROE
IAG.MC,2024,6170000000.0,2732000000.0,0.44278768233387356
IBE.MC,2020,35412000000.0,3611000000.0,0.10197108324861628
IBE.MC,2021,40479000000.0,3885000000.0,0.09597569109908842
IBE.MC,2022,41119000000.0,4339000000.0,0.10552299423624116
IBE.MC,2023,43111000000.0,4803000000.0,0.1114100809538169
IBE.MC,2024,47125013000.0,4802782000.0,0.10191577029379281
IDR.MC,2020,664782000.0,-57467000.0,-0.08644487967484077
IDR.MC,2021,820169000.0,143369000.0,0.17480421717963004
IDR.MC,2022,987015000.0,171895000.0,0.17415642112835164
IDR.MC,2023,1117507000.0,205752000.0,0.18411696749997986
IDR.MC,2024,1297157000.0,277541000.0,0.2139609931565724
ITX.MC,2020,14913000000.0,1106000000.0,0.07416348152618521
ITX.MC,2021,14520000000.0,3243000000.0,0.22334710743801653
ITX.MC,2022,15733000000.0,4130000000.0,0.26250556155850757
ITX.MC,2023,17008000000.0,5381000000.0,0.3163805268109125
ITX.MC,2024,18642000000.0,5866133000.0,0.3146729428172943
LOG.MC,2020,514164000.0,157184000.0,0.3057079064267432
LOG.MC,2021,523640000.0,173961000.0,0.3322148804522191
LOG.MC,2022,561976000.0,198848000.0,0.35383717454126157
LOG.MC,2023,590707000.0,272254000.0,0.46089516460783436
LOG.MC,2024,641472000.0,308235000.0,0.48051200987728226
MAP.MC,2020,8536000000.0,820700000.0,0.09614573570759138
MAP.MC,2021,8463600000.0,1035600000.0,0.1223592797391181
MAP.MC,2022,7289300000.0,1083800000.0,0.14868368704813906
MAP.MC,2023,8466600000.0,677200000.0,0.0799848817707226
MAP.MC,2024,8888700000.0,967500000.0,0.1088460629788383
MRL.MC,2020,6696267000.0,56358000.0,0.008416331069236038
MRL.MC,2021,7026922000.0,512217000.0,0.07289350870836477
MRL.MC,2022,6849224000.0,263087000.0,0.03841121271548426
MRL.MC,2023,6539038000.0,-83497000.0,-0.0127690036363147
MRL.MC,2024,7500980000.0,283759000.0,0.0378295902668718
MTS.MC,2020,38280000000.0,-578000000.0,-0.01509926854754441
MTS.MC,2021,49106000000.0,20485000000.0,0.4171587993320572
MTS.MC,2022,53152000000.0,9302000000.0,0.17500752558699578
MTS.MC,2023,53961000000.0,919000000.0,0.017030818554140955
MTS.MC,2024,49223000000.0,1339000000.0,0.027202730430896126
NTGY.MC,2020,8028000000.0,-55000000.0,-0.006851021425012456
NTGY.MC,2021,5889000000.0,1214000000.0,0.20614705382917303
NTGY.MC,2022,7574000000.0,1649000000.0,0.21771851069448112
NTGY.MC,2023,9448000000.0,1986000000.0,0.21020321761219304
NTGY.MC,2024,9478000000.0,1901000000.0,0.20056974045157205
PUIG.MC,2023,949906000.0,465209000.0,0.4897421429067718
PUIG.MC,2024,3526104000.0,530649000.0,0.15049159071882168
PUIG.MC,2021,1040415000.0,221039000.0,0.21245272319218772
PUIG.MC,2022,944849000.0,399490000.0,0.4228083005855962
RED.MC,2020,3435602000.0,621185000.0,0.1808081960599627
RED.MC,2021,3631082000.0,680627000.0,0.1874446790240485
RED.MC,2022,4789535000.0,664731000.0,0.1387882122168436
RED.MC,2023,5408760000.0,689640000.0,0.1275042708495108
RED.MC,2024,5153957000.0,368438000.0,0.07148643265747076
REP.MC,2020,20295000000.0,-3320000000.0,-0.16358709041635872
REP.MC,2021,22414000000.0,2499000000.0,0.11149281698938164
REP.MC,2022,25294000000.0,4251000000.0,0.16806357238870878
REP.MC,2023,26197000000.0,3168000000.0,0.12092987746688552
REP.MC,2024,26489000000.0,1756000000.0,0.06629166823964665
ROVI.MC,2020,373700000.0,61057000.0,0.16338506823655338
ROVI.MC,2021,470976000.0,153077000.0,0.325020807854328
ROVI.MC,2022,520012000.0,199669000.0,0.38396998530803134
ROVI.MC,2023,539387000.0,170335000.0,0.31579366948035453
ROVI.MC,2024,572028000.0,136881000.0,0.239290734020013
SAB.MC,2020,12420004000.0,3010000.0,0.00024235096864703103
